n_b, rho, p
1.8900E+00, 7.4456E+15, 8.3308E+36
1.8800E+00, 7.3575E+15, 8.1979E+36
1.8700E+00, 7.2703E+15, 8.0663E+36
1.8600E+00, 7.1839E+15, 7.9360E+36
1.8500E+00, 7.0982E+15, 7.8070E+36
1.8400E+00, 7.0133E+15, 7.6792E+36
1.8300E+00, 6.9291E+15, 7.5527E+36
1.8200E+00, 6.8458E+15, 7.4275E+36
1.8100E+00, 6.7632E+15, 7.3036E+36
1.8000E+00, 6.6813E+15, 7.1809E+36
1.7900E+00, 6.6002E+15, 7.0595E+36
1.7800E+00, 6.5199E+15, 6.9394E+36
1.7700E+00, 6.4403E+15, 6.8206E+36
1.7600E+00, 6.3614E+15, 6.7031E+36
1.7500E+00, 6.2833E+15, 6.5868E+36
1.7400E+00, 6.2059E+15, 6.4718E+36
1.7300E+00, 6.1293E+15, 6.3580E+36
1.7200E+00, 6.0534E+15, 6.2455E+36
1.7100E+00, 5.9782E+15, 6.1343E+36
1.7000E+00, 5.9037E+15, 6.0243E+36
1.6900E+00, 5.8299E+15, 5.9156E+36
1.6800E+00, 5.7569E+15, 5.8081E+36
1.6700E+00, 5.6845E+15, 5.7019E+36
1.6600E+00, 5.6129E+15, 5.5969E+36
1.6500E+00, 5.5420E+15, 5.4932E+36
1.6400E+00, 5.4717E+15, 5.3907E+36
1.6300E+00, 5.4022E+15, 5.2894E+36
1.6200E+00, 5.3333E+15, 5.1893E+36
1.6100E+00, 5.2651E+15, 5.0905E+36
1.6000E+00, 5.1976E+15, 4.9928E+36
1.5900E+00, 5.1308E+15, 4.8964E+36
1.5800E+00, 5.0646E+15, 4.8012E+36
1.5700E+00, 4.9991E+15, 4.7072E+36
1.5600E+00, 4.9343E+15, 4.6143E+36
1.5500E+00, 4.8701E+15, 4.5227E+36
1.5400E+00, 4.8066E+15, 4.4322E+36
1.5300E+00, 4.7437E+15, 4.3429E+36
1.5200E+00, 4.6815E+15, 4.2548E+36
1.5100E+00, 4.6199E+15, 4.1678E+36
1.5000E+00, 4.5590E+15, 4.0820E+36
1.4900E+00, 4.4987E+15, 3.9974E+36
1.4800E+00, 4.4390E+15, 3.9139E+36
1.4700E+00, 4.3799E+15, 3.8315E+36
1.4600E+00, 4.3215E+15, 3.7502E+36
1.4500E+00, 4.2636E+15, 3.6701E+36
1.4400E+00, 4.2064E+15, 3.5911E+36
1.4300E+00, 4.1498E+15, 3.5132E+36
1.4200E+00, 4.0938E+15, 3.4365E+36
1.4100E+00, 4.0383E+15, 3.3608E+36
1.4000E+00, 3.9835E+15, 3.2862E+36
1.3900E+00, 3.9293E+15, 3.2127E+36
1.3800E+00, 3.8756E+15, 3.1403E+36
1.3700E+00, 3.8226E+15, 3.0689E+36
1.3600E+00, 3.7701E+15, 2.9986E+36
1.3500E+00, 3.7181E+15, 2.9294E+36
1.3400E+00, 3.6668E+15, 2.8612E+36
1.3300E+00, 3.6160E+15, 2.7941E+36
1.3200E+00, 3.5657E+15, 2.7280E+36
1.3100E+00, 3.5160E+15, 2.6629E+36
1.3000E+00, 3.4669E+15, 2.5988E+36
1.2900E+00, 3.4183E+15, 2.5358E+36
1.2800E+00, 3.3702E+15, 2.4738E+36
1.2700E+00, 3.3227E+15, 2.4128E+36
1.2600E+00, 3.2757E+15, 2.3527E+36
1.2500E+00, 3.2292E+15, 2.2937E+36
1.2400E+00, 3.1832E+15, 2.2356E+36
1.2300E+00, 3.1378E+15, 2.1785E+36
1.2200E+00, 3.0929E+15, 2.1224E+36
1.2100E+00, 3.0485E+15, 2.0672E+36
1.2000E+00, 3.0045E+15, 2.0130E+36
1.1900E+00, 2.9611E+15, 1.9597E+36
1.1800E+00, 2.9182E+15, 1.9073E+36
1.1700E+00, 2.8758E+15, 1.8559E+36
1.1600E+00, 2.8338E+15, 1.8054E+36
1.1500E+00, 2.7923E+15, 1.7558E+36
1.1400E+00, 2.7513E+15, 1.7071E+36
1.1300E+00, 2.7108E+15, 1.6593E+36
1.1200E+00, 2.6708E+15, 1.6124E+36
1.1100E+00, 2.6312E+15, 1.5664E+36
1.1000E+00, 2.5920E+15, 1.5212E+36
1.0900E+00, 2.5533E+15, 1.4770E+36
1.0800E+00, 2.5151E+15, 1.4335E+36
1.0700E+00, 2.4773E+15, 1.3910E+36
1.0600E+00, 2.4399E+15, 1.3492E+36
1.0500E+00, 2.4030E+15, 1.3083E+36
1.0400E+00, 2.3665E+15, 1.2683E+36
1.0300E+00, 2.3304E+15, 1.2290E+36
1.0200E+00, 2.2947E+15, 1.1906E+36
1.0100E+00, 2.2595E+15, 1.1529E+36
1.0000E+00, 2.2247E+15, 1.1161E+36
9.9000E-01, 2.1902E+15, 1.0801E+36
9.8000E-01, 2.1562E+15, 1.0448E+36
9.7000E-01, 2.1226E+15, 1.0103E+36
9.6000E-01, 2.0893E+15, 9.7657E+35
9.5000E-01, 2.0565E+15, 9.4359E+35
9.4000E-01, 2.0240E+15, 9.1137E+35
9.3000E-01, 1.9919E+15, 8.7988E+35
9.2000E-01, 1.9602E+15, 8.4913E+35
9.1000E-01, 1.9288E+15, 8.1910E+35
9.0000E-01, 1.8978E+15, 7.8979E+35
8.9000E-01, 1.8672E+15, 7.6118E+35
8.8000E-01, 1.8369E+15, 7.3328E+35
8.7000E-01, 1.8069E+15, 7.0607E+35
8.6000E-01, 1.7773E+15, 6.7954E+35
8.5000E-01, 1.7481E+15, 6.5369E+35
8.4000E-01, 1.7192E+15, 6.2851E+35
8.3000E-01, 1.6906E+15, 6.0398E+35
8.2000E-01, 1.6623E+15, 5.8010E+35
8.1000E-01, 1.6343E+15, 5.5687E+35
8.0000E-01, 1.6067E+15, 5.3427E+35
7.9000E-01, 1.5794E+15, 5.1230E+35
7.8000E-01, 1.5523E+15, 4.9095E+35
7.7000E-01, 1.5256E+15, 4.7020E+35
7.6000E-01, 1.4992E+15, 4.5006E+35
7.5000E-01, 1.4730E+15, 4.3050E+35
7.4000E-01, 1.4472E+15, 4.1153E+35
7.3000E-01, 1.4216E+15, 3.9314E+35
7.2000E-01, 1.3963E+15, 3.7531E+35
7.1000E-01, 1.3713E+15, 3.5804E+35
7.0000E-01, 1.3465E+15, 3.4132E+35
6.9000E-01, 1.3220E+15, 3.2514E+35
6.8000E-01, 1.2978E+15, 3.0949E+35
6.7000E-01, 1.2738E+15, 2.9436E+35
6.6000E-01, 1.2500E+15, 2.7975E+35
6.5000E-01, 1.2265E+15, 2.6564E+35
6.4000E-01, 1.2033E+15, 2.5203E+35
6.3000E-01, 1.1802E+15, 2.3890E+35
6.2000E-01, 1.1574E+15, 2.2626E+35
6.1000E-01, 1.1348E+15, 2.1408E+35
6.0000E-01, 1.1124E+15, 2.0237E+35
5.9000E-01, 1.0903E+15, 1.9110E+35
5.8000E-01, 1.0683E+15, 1.8028E+35
5.7000E-01, 1.0466E+15, 1.6990E+35
5.6000E-01, 1.0250E+15, 1.5994E+35
5.5000E-01, 1.0037E+15, 1.5039E+35
5.4000E-01, 9.8251E+14, 1.4125E+35
5.3000E-01, 9.6153E+14, 1.3251E+35
5.2000E-01, 9.4072E+14, 1.2415E+35
5.1000E-01, 9.2009E+14, 1.1617E+35
5.0000E-01, 8.9963E+14, 1.0857E+35
4.9000E-01, 8.7933E+14, 1.0132E+35
4.8000E-01, 8.5919E+14, 9.4427E+34
4.7000E-01, 8.3921E+14, 8.7875E+34
4.6000E-01, 8.1938E+14, 8.1655E+34
4.5000E-01, 7.9970E+14, 7.5760E+34
4.4000E-01, 7.8015E+14, 7.0179E+34
4.3000E-01, 7.6074E+14, 6.4904E+34
4.2000E-01, 7.4147E+14, 5.9925E+34
4.1000E-01, 7.2232E+14, 5.5234E+34
4.0000E-01, 7.0329E+14, 5.0820E+34
3.9000E-01, 6.8439E+14, 4.6675E+34
3.8000E-01, 6.6559E+14, 4.2790E+34
3.7000E-01, 6.4691E+14, 3.9154E+34
3.6000E-01, 6.2833E+14, 3.5759E+34
3.5000E-01, 6.0985E+14, 3.2595E+34
3.4000E-01, 5.9147E+14, 2.9651E+34
3.3000E-01, 5.7318E+14, 2.6918E+34
3.2000E-01, 5.5497E+14, 2.4386E+34
3.1000E-01, 5.3676E+14, 2.4120E+34
3.0000E-01, 5.1863E+14, 2.1701E+34
2.9000E-01, 5.0059E+14, 1.9471E+34
2.8000E-01, 4.8263E+14, 1.7421E+34
2.7000E-01, 4.6475E+14, 1.5541E+34
2.6000E-01, 4.4695E+14, 1.3820E+34
2.5000E-01, 4.2921E+14, 1.2248E+34
2.4000E-01, 4.1154E+14, 1.0816E+34
2.3000E-01, 3.9394E+14, 9.5129E+33
2.2000E-01, 3.7639E+14, 8.3305E+33
2.1000E-01, 3.5890E+14, 7.2601E+33
1.8000E-01, 3.0658E+14, 6.6460E+33
1.7000E-01, 2.8921E+14, 5.6119E+33
1.6000E-01, 2.7189E+14, 4.6920E+33
1.5000E-01, 2.5463E+14, 3.8812E+33
1.4000E-01, 2.3743E+14, 3.1740E+33
1.3000E-01, 2.2027E+14, 2.5632E+33
1.2000E-01, 2.0314E+14, 2.0350E+33
1.1000E-01, 1.8604E+14, 1.5890E+33
1.0000E-01, 1.6899E+14, 1.2230E+33
9.0000E-02, 1.5197E+14, 9.2819E+32
2.0960E-02, 3.4930E+13, 7.3110E+31
1.6700E-02, 2.7840E+13, 5.2780E+31
1.3720E-02, 2.2870E+13, 4.0280E+31
1.1030E-02, 1.8380E+13, 2.9980E+31
9.0360E-03, 1.5060E+13, 2.3040E+31
7.5240E-03, 1.2540E+13, 1.8160E+31
6.3420E-03, 1.0570E+13, 1.4630E+31
5.3880E-03, 8.9800E+12, 1.2280E+31
4.2250E-03, 7.0410E+12, 9.2380E+30
3.5030E-03, 5.8390E+12, 7.2330E+30
2.6270E-03, 4.3790E+12, 6.0430E+30
2.0030E-03, 3.3380E+12, 4.6990E+30
1.5800E-03, 2.6340E+12, 3.8250E+30
1.2800E-03, 2.1340E+12, 3.2160E+30
1.0600E-03, 1.7660E+12, 2.7710E+30
8.7300E-04, 1.4550E+12, 2.6370E+30
6.7860E-04, 1.1310E+12, 2.2530E+30
5.4450E-04, 9.0750E+11, 1.9800E+30
3.6660E-04, 6.1100E+11, 1.3600E+30
1.5000E-04, 2.5000E+11, 4.7500E+29
4.7100E-05, 7.8500E+10, 1.1500E+29
6.6600E-06, 1.1100E+10, 9.5700E+27
8.9400E-07, 1.4900E+09, 7.2300E+26
6.0230E-07, 1.0000E+09, 4.2200E+26
3.5400E-07, 5.8780E+08, 2.0640E+26
2.0810E-07, 3.4550E+08, 1.0070E+26
1.2230E-07, 2.0310E+08, 4.8970E+25
7.1900E-08, 1.1940E+08, 2.3700E+25
4.2260E-08, 7.0170E+07, 1.1410E+25
2.4840E-08, 4.1250E+07, 5.4460E+24
1.4600E-08, 2.4240E+07, 2.5760E+24
8.5830E-09, 1.4250E+07, 1.2050E+24
5.0450E-09, 8.3770E+06, 5.5610E+23
2.9660E-09, 4.9240E+06, 2.5290E+23
1.7430E-09, 2.8940E+06, 1.1320E+23
1.0250E-09, 1.7010E+06, 4.9830E+22
6.0230E-10, 1.0000E+06, 2.1590E+22
3.5400E-10, 5.8780E+05, 9.2180E+21
2.0810E-10, 3.4550E+05, 3.8820E+21
1.2230E-10, 2.0310E+05, 1.6150E+21
7.1900E-11, 1.1940E+05, 6.6390E+20
4.2260E-11, 7.0170E+04, 2.7000E+20
2.4840E-11, 4.1250E+04, 1.0860E+20
1.4600E-11, 2.4240E+04, 4.3190E+19
8.5830E-12, 1.4250E+04, 1.6930E+19
5.0450E-12, 8.3770E+03, 6.5280E+18
2.9660E-12, 4.9240E+03, 2.4600E+18
1.7430E-12, 2.8940E+03, 8.9850E+17
1.0250E-12, 1.7010E+03, 3.1270E+17
6.0230E-13, 1.0000E+03, 1.0030E+17